"Trabalho.1" "P1" "Total.P1" "Trabalho.2" "P2" "Total.P2" "Média.P2" "Ata.P1" "Ata.P2" "Turno" "Turma" "Tempo1" "Tempo2" "Abandono" "Existente"
"57" 0 0 0 2 0.5 2.5 1.5 "S" "S" "2M" "Mec4AM" 0.5 4.5 "N" "S"
"58" 1 8.5 9.5 2 7 9 9.2 "S" "S" "2M" "Mec4AM" 0.5 4.5 "N" "S"
"59" 1 5.5 6.5 2 5 7 6.8 "S" "S" "2M" "Mec4AM" 0.5 4.5 "N" "S"
"60" 1 4 5 0 0 0 2 "S" "S" "2M" "Mec4AM" 0.5 4.5 "N" "S"
"61" 1 4 5 2 0.5 2.5 3.5 "S" "S" "2M" "Mec4AM" 0.5 4.5 "N" "S"
"62" 1 7.5 8.5 2 0.7 2.7 5 "S" "S" "2M" "Mec4AM" 0.5 4.5 "N" "S"
"63" 1 2.1 3.1 NA NA 0 1.2 "S" "S" "2M" "Mec4AM" 0.5 4.5 "S" "S"
"64" 0.5 9.5 10 2 8 10 10 "S" "S" "2M" "Mec4AM" 0.5 4.5 "N" "S"
"65" 1 8 9 2 7.5 9.5 9.3 "S" "S" "2M" "Mec4AM" 0.5 4.5 "N" "S"
"66" 1 5.5 6.5 2 3.7 5.7 6 "S" "S" "2M" "Mec4AM" 0.5 4.5 "N" "S"
"67" 1 5 6 0 0 0 2.4 "S" "S" "2M" "Mec4AM" 0.5 4.5 "N" "S"
"68" 1 8.5 9.5 2 5.5 7.5 8.3 "S" "S" "2M" "Mec4AM" 0.5 4.5 "N" "S"
"69" 0 0 0 NA NA 0 0 "S" "S" "2M" "Mec4AM" 0.5 4.5 "S" "S"
"70" 1 8.5 9.5 2 5.9 7.9 8.5 "S" "S" "2M" "Mec4AM" 0.5 4.5 "N" "S"
"71" 0 0 0 2 4.5 6.5 3.9 "S" "S" "2M" "Mec4AM" 0.5 4.5 "N" "S"
"72" 1 7 8 2 8 10 9.2 "S" "S" "2M" "Mec4AM" 0.5 4.5 "N" "S"
"73" 1 7 8 2 7.5 9.5 8.9 "S" "S" "2M" "Mec4AM" 0.5 4.5 "N" "S"
"74" 1 4.5 5.5 0 2 2 3.4 "S" "S" "2M" "Mec4AM" 0.5 4.5 "N" "S"
"75" 1 4 5 2 4.7 6.7 6 "S" "S" "2M" "Mec4AM" 0.5 4.5 "N" "S"
"76" 0 0 0 0 0 0 0 "S" "S" "2M" "Mec4AM" 0.5 4.5 "N" "S"
"77" NA NA 0 NA NA 0 0 "S" "S" "2M" "Mec4AM" 0.5 4.5 NA "N"
"78" 1 5 6 2 4 6 6 "S" "S" "2M" "Mec4AM" 0.5 4.5 "N" "S"
"79" NA NA 0 0 0 0 0 "N" "N" "2M" "Mec4AM" 0.5 4.5 NA "S"
"80" NA NA 0 NA NA 0 0 "N" "N" "2M" "Mec4AM" 0.5 4.5 NA "N"
"81" 1 8.5 9.5 2 3.5 5.5 7.1 "N" "N" "2M" "Mec4AM" 0.5 4.5 "N" "S"
"82" 0 10 10 0 0 0 4 "N" "N" "2M" "Mec4AM" 0.5 4.5 "N" "S"
"83" 0 10 10 2 1.5 3.5 6.1 "N" "N" "2M" "Mec4AM" 0.5 4.5 "N" "S"
"84" 0.5 9.5 10 2 3 5 7 "N" "N" "2M" "Mec4AM" 0.5 4.5 "N" "S"
"85" 0 0 0 0 0 0 0 "N" "N" "2M" "Mec4AM" 0.5 4.5 "N" "S"
"86" 1 4 5 2 2 4 4.4 "S" "S" "2N" "Civil4AN" 1 5 "N" "S"
"87" NA NA 0 NA NA 0 0 "S" "S" "2N" "Civil4AN" 1 5 NA "N"
"88" 1 5.5 6.5 2 2 4 5 "S" "S" "2N" "Civil4AN" 1 5 "N" "S"
"89" NA NA 0 NA NA 0 0 "S" "S" "2N" "Civil4AN" 1 5 NA "N"
"90" NA NA 0 NA NA 0 0 "S" "S" "2N" "Civil4AN" 1 5 NA "N"
"91" 0 10 10 2 7 9 9.4 "S" "S" "2N" "Civil4AN" 1 5 "N" "S"
"92" 1 7 8 2 5 7 7.4 "S" "S" "2N" "Civil4AN" 1 5 "N" "S"
"93" 1 4 5 2 4.7 6.7 6 "S" "S" "2N" "Civil4AN" 1 5 "N" "S"
"94" 1 6.5 7.5 2 6.5 8.5 8.1 "S" "S" "2N" "Civil4AN" 1 5 "N" "S"
"95" 0 10 10 2 8 10 10 "S" "S" "2N" "Civil4AN" 1 5 "N" "S"
"96" 1 2.5 3.5 2 4 6 5 "S" "S" "2N" "Civil4AN" 1 5 "N" "S"
"97" 1 7 8 2 7.4 9.4 8.8 "S" "S" "2N" "Civil4AN" 1 5 "N" "S"
"98" NA NA 0 NA NA 0 0 "S" "S" "2N" "Civil4AN" 1 5 NA "N"
"99" NA NA 0 NA NA 0 0 "S" "S" "2N" "Civil4AN" 1 5 NA "N"
"100" 1 4.5 5.5 2 4.5 6.5 6.1 "S" "S" "2N" "Civil4AN" 1 5 "N" "S"
"101" NA NA 0 NA NA 0 0 "S" "S" "2N" "Civil4AN" 1 5 NA "N"
"102" NA NA 0 NA NA 0 0 "S" "S" "2N" "Civil4AN" 1 5 NA "N"
"103" 1 4.5 5.5 2 6.8 8.8 7.5 "S" "S" "2N" "Civil4AN" 1 5 "N" "S"
"104" 1 3.5 4.5 NA NA 0 1.8 "S" "S" "2N" "Civil4AN" 1 5 "S" "S"
"105" 1 8.5 9.5 2 7.5 9.5 9.5 "S" "S" "2N" "Civil4AN" 1 5 "N" "S"
"106" 1 8.5 9.5 2 4 6 7.4 "S" "S" "2N" "Civil4AN" 1 5 "N" "S"
"107" 1 6.5 7.5 2 7.9 9.9 8.9 "S" "S" "2N" "Civil4AN" 1 5 "N" "S"
"108" 1 8.5 9.5 2 7 9 9.2 "S" "S" "2N" "Civil4AN" 1 5 "N" "S"
"109" 1 4 5 2 6.6 8.6 7.2 "S" "S" "2N" "Civil4AN" 1 5 "N" "S"
"110" 1 8.5 9.5 2 8 10 9.8 "S" "S" "2N" "Civil4AN" 1 5 "N" "S"
"111" 1 4 5 2 6 8 6.8 "S" "S" "2N" "Civil4AN" 1 5 "N" "S"
"112" 1 6.5 7.5 2 7.5 9.5 8.7 "S" "S" "2N" "Civil4AN" 1 5 "N" "S"
"113" 1 4 5 2 6.7 8.7 7.2 "S" "S" "2N" "Civil4AN" 1 5 "N" "S"
"114" 1 6.5 7.5 2 4.5 6.5 6.9 "S" "S" "2N" "Civil4AN" 1 5 "N" "S"
"115" 1 9 10 2 7.5 9.5 9.7 "S" "S" "2N" "Civil4AN" 1 5 "N" "S"
"116" 1 7 8 2 7.9 9.9 9.1 "S" "S" "2N" "Civil4AN" 1 5 "N" "S"
"117" 1 5.5 6.5 2 4.5 6.5 6.5 "S" "S" "2N" "Civil4AN" 1 5 "N" "S"
"118" 1 8 9 NA NA 0 3.6 "S" "S" "2N" "Civil4AN" 1 5 "S" "S"
"119" 0 10 10 2 5.1 7.1 8.3 "S" "S" "2N" "Civil4AN" 1 5 "N" "S"
"120" 1 2.5 3.5 2 6.7 8.7 6.6 "S" "S" "2N" "Civil4AN" 1 5 "N" "S"
"121" 1 4 5 2 4.7 6.7 6 "S" "S" "2N" "Civil4AN" 1 5 "N" "S"
"122" NA NA 0 NA NA 0 0 "S" "S" "2N" "Civil4AN" 1 5 NA "N"
"123" 1 5 6 2 8 10 8.4 "S" "S" "2N" "Civil4AN" 1 5 "N" "S"
"124" 0 0 0 NA NA 0 0 "S" "S" "2N" "Civil4AN" 1 5 "S" "S"
